Date,MSFT
2012-01-31,28.5155
2012-02-29,30.8245
2012-03-31,32.195
2012-04-30,31.505
2012-05-31,30.2263636364
2012-06-30,29.6795238095
2012-07-31,29.7561904762
2012-08-31,30.3573913043
2012-09-30,30.7805263158
2012-10-31,29.0661904762
2012-11-30,27.8114285714
2012-12-31,26.9655
2013-01-31,27.2366666667
2013-02-28,27.7036842105
2013-03-31,28.1405
2013-04-30,29.87
2013-05-31,33.9504545455
2013-06-30,34.632
2013-07-31,33.6495454545
2013-08-31,32.485
2013-09-30,32.524
2013-10-31,34.3817391304
2013-11-30,37.362
2013-12-31,37.4547619048
2014-01-31,36.35
2014-02-28,37.2421052632
2014-03-31,38.9852380952
2014-04-30,40.1342857143
2014-05-31,39.92
2014-06-30,41.3614285714
2014-07-31,43.2136363636
2014-08-31,44.2595238095
2014-09-30,46.4123809524
2014-10-31,45.1960869565
2014-11-30,48.4052631579
2014-12-31,47.4931818182
2015-01-31,45.5135
2015-02-28,43.0784210526
2015-03-31,42.1313636364
2015-04-30,43.4652380952
2015-05-31,47.5295
2015-06-30,45.9640909091
2015-07-31,45.6113636364
2015-08-31,45.5066666667
2015-09-30,43.5614285714
2015-10-31,48.7009090909
2015-11-30,53.8845
2015-12-31,55.3959090909
2016-01-31,52.4036842105
2016-02-29,51.3805
2016-03-31,53.3840909091
2016-04-30,54.0542857143
2016-05-31,50.9695238095
2016-06-30,50.92
2016-07-31,54.102
2016-08-31,57.7173913043
2016-09-30,57.2895238095
2016-10-31,58.3976190476
2016-11-30,59.9252380952
2016-12-31,62.1180952381
2017-01-31,63.192
2017-02-28,64.1136842105
2017-03-31,64.8413043478
2017-04-30,66.1715789474
2017-05-31,68.9172727273
2017-06-30,70.8316666667
